Review Count,title,rating,x
1,2 Star not worth,1,Battery life is worst . Even normal use call whatsapp battery drain fast 1 day backup only . Don't go for iphone 13 if u want battery backup. And Android user don't go for iOS lot of disadvantages are
2,Disappointed,1,Its my first iPhone. Im completely disappointed with this so called “brand apple iphone”. Its getting very hot during use and charging. I strongly recommend dont buy apple products. just go for oneplu
3,Phone got hot and touch not working,1,Since I bought this product through Amazon phone touch was not working as par and while charging phone got heat a lot.And after one day of purchase my phone is not working . Touch is also not working.
4,I Suggest Don.t Buy,1,This is wrost Mobile After 2 Day use It's Hiting To Much When Charging...Battry Charging Slow..... And When Play Bgmi..it's battry drain To fast with Full Hiting Mobile...
5,Don’t buy this product from Amazon,1,Don’t buy this product from AmazonReturn/Replacement is not initiating by amazonReceived defective product
6,Overheating,1,Heating heating heating. Not expected from a phone with such price
7,Its i just a robbery,1,Its better to buy samsung or nokia
8,Phone heating,1,"The phone is heating badly when put on charge. And when on use of 15mins , the phone is getting heated up"
9,Charger not provided with this iPhone why?????,1,Charger not provided by apple
10,Same as iPhone 12,1,No big upgrades at all!! It’s the same as iPhone 12 except that they changed the camera designed! Apple STOP FOOLING US
11,Don’t buy this phone,1,You can buy two to three Samsung/Other best mobiles with this specifications.. not up to the mark. Only camera got changed compared to iPhone 12
12,Not good,1,Very expensive and not working well as I was thinking about it so I think this is my wrong selection.
13,wastage of money,1,wastage of money. better go for Iphone 12 pro. amazon Great indian sale also ll be there at 4th oct just grab ip12pro with huge discount. and iphone13 assembled in China but 12pro assamble in India
14,Useless product ever by apple even more costlier,1,"I don’t know why they are doing this kind of things i mean at 70k even you don’t get the 120hz display, at least 90hz must be there. Only camera improvement, instead selling phones why they don’t sell apple DSLRs ."
15,Lmao apple sucks,1,"This phone sucks buy samsung, buy oppo, buy oneplus, even mi is better than crap apple. Don't but this crap. I regretted it, you will too."
16,Not worth,1,"Could've been better, this is just such a small update.. I'd say stick to your old iPhone 12 if you have it.. if not then maybe think of buying this"
17,Apple is trying to loot people,1,You have to pay 95000+ for this stupid phone which doesn’t make any sense especially when they don’t even pack a charger and 120hz display in such an expensive phone. Buy Google pixel phone instead.
18,Country of Origin ?China,1,"Country of Origin ?China,you can decide your own. But India origin and manufacture only. Thank you for considering it."
19,Worst phone for isheeps.,1,Buy samsung. Not worth for 60hz in 2022 . Boycott apple products . This is a below standard phone with huge notch .
20,Overpriced,1,No biometrics with many UI flaws. Too expensive at 90K range.Better wait for new versions so that the price will drop for this version substantially.
21,Trash phone,1,"I have made a mistake of going with the hype and buying the iPhone...It's a useless piece of trash for 50k. No functionality whatsoever. Just a piece of showoff,nothing else. I also have put up an ad olx.Rather go for samsung S series"
22,Not satisfied,1,Dislike it
